officename,pincode,Deliverystatus,Taluk,Districtname,statename
Motinagar S.O (Dhanbad),828120,Delivery,Dhanbad,Dhanbad,JHARKHAND
Sector- IX S.O,827009,Delivery,Chas,Bokaro,JHARKHAND
Tundoo S.O,828128,Delivery,Dhanbad,Dhanbad,JHARKHAND
A.C.C. Colony S.O,828124,Delivery,Dhanbad,Dhanbad,JHARKHAND
Dhansar S.O,828106,Delivery,Dhanbad,Dhanbad,JHARKHAND
Jharia S.O,828111,Delivery,Dhanbad,Dhanbad,JHARKHAND
Panchet Dam S.O,828206,Delivery,Dhanbad,Dhanbad,JHARKHAND
Patherdih Coal Washery S.O,828132,Delivery,Dhanbad,Dhanbad,JHARKHAND
Saraidhela S.O,828127,Delivery,Dhanbad,Dhanbad,JHARKHAND
Sijua S.O,828121,Delivery,Dhanbad,Dhanbad,JHARKHAND
B.S.City Plant S.O,827011,Delivery,Chas,Bokaro,JHARKHAND
B.S.City R.S. S.O,827010,Delivery,Chas,Bokaro,JHARKHAND
Bhelatand S.O,828103,Delivery,Dhanbad,Dhanbad,JHARKHAND
Bhowra S.O,828302,Delivery,Dhanbad,Dhanbad,JHARKHAND
Bokaro Steel City H.O,827001,Delivery,Bokaro,Bokaro,JHARKHAND
Chasnalla S.O,828135,Delivery,Dhanbad,Dhanbad,JHARKHAND
Fri S.O,828108,Delivery,Dhanbad,Dhanbad,JHARKHAND
Gomoh S.O,828401,Delivery,Dhanbad,Dhanbad,JHARKHAND
Jagjivan Nagar S.O,826003,Delivery,Dhanbad,Dhanbad,JHARKHAND
Jamadoba S.O,828112,Delivery,Dhanbad,Dhanbad,JHARKHAND
Jitpur S.O,828309,Delivery,Dhanbad,Dhanbad,JHARKHAND
Katras Bazar S.O,828114,Delivery,Dhanbad,Dhanbad,JHARKHAND
Khasjeena Gora S.O,828115,Delivery,Dhanbad,Dhanbad,JHARKHAND
Maithon Dam S.O,828207,Delivery,Dhanbad,Dhanbad,JHARKHAND
Nawagarh S.O (Dhanbad),828306,Delivery,Dhanbad,Dhanbad,JHARKHAND
Baliapur S.O,828201,Delivery,Dhanbad,Dhanbad,JHARKHAND
Bhulan Bararee S.O,828133,Delivery,Dhanbad,Dhanbad,JHARKHAND
Katrasgarh S.O,828113,Delivery,Dhanbad,Dhanbad,JHARKHAND
Sector- III S.O,827003,Delivery,Chas,Bokaro,JHARKHAND
Sindri S.O,828122,Delivery,Dhanbad,Dhanbad,JHARKHAND
Bhatdih S.O,828308,Delivery,Dhanbad,Dhanbad,JHARKHAND
Govindpur S.O (Dhanbad),828109,Delivery,Dhanbad,Dhanbad,JHARKHAND
Indian School Of Mines S.O,826004,Delivery,Dhanbad,Dhanbad,JHARKHAND
Jaina S.O,829301,Delivery,Bermo,Bokaro,JHARKHAND
Malkera S.O,828304,Delivery,Dhanbad,Dhanbad,JHARKHAND
Marafari Colony S.O,827012,Delivery,Chas,Bokaro,JHARKHAND
Mugma S.O,828204,Delivery,Dhanbad,Dhanbad,JHARKHAND
Sector-VI S.O,827006,Delivery,Chas,Bokaro,JHARKHAND
Sonardih S.O,828125,Delivery,Dhanbad,Dhanbad,JHARKHAND
Topchanchi S.O,828402,Delivery,Dhanbad,Dhanbad,JHARKHAND
B.Polytechnic S.O,828130,Delivery,Dhanbad,Dhanbad,JHARKHAND
BCCl Township S.O,826005,Delivery,Dhanbad,Dhanbad,JHARKHAND
Bhuli S.O,828104,Delivery,Dhanbad,Dhanbad,JHARKHAND
Chirkunda S.O,828202,Delivery,Dhanbad,Dhanbad,JHARKHAND
Domgarh S.O,828107,Delivery,Dhanbad,Dhanbad,JHARKHAND
Jealgora S.O,828110,Delivery,Dhanbad,Dhanbad,JHARKHAND
Kumardhubi S.O,828203,Delivery,Dhanbad,Dhanbad,JHARKHAND
Lodna S.O (Dhanbad),828131,Delivery,Dhanbad,Dhanbad,JHARKHAND
Nudkhurkee S.O,828307,Delivery,Dhanbad,Dhanbad,JHARKHAND
Patherdih S.O,828119,Delivery,Dhanbad,Dhanbad,JHARKHAND
Sector- IV S.O,827004,Delivery,Chas,Bokaro,JHARKHAND
Kharagdiha S.O,815314,Delivery,Giridih,Giridh,JHARKHAND
Tenughat Dam S.O,829123,Delivery,Bokaro,Bokaro,JHARKHAND
Bhandaridah S.O,829132,Delivery,Bokaro,Bokaro,JHARKHAND
Chandrapura S.O,828403,Delivery,Bokaro,Bokaro,JHARKHAND
Dumri S.O,825106,Delivery,NA,Giridh,JHARKHAND
Pirtand S.O,825108,Delivery,Giridih,Giridh,JHARKHAND
Shikherjee S.O,825329,Delivery,Giridih,Giridh,JHARKHAND
Bengabad S.O,815312,Delivery,Giridih,Giridh,JHARKHAND
Jaridih Bazar S.O,829114,Delivery,Bokaro,Bokaro,JHARKHAND
Rajdhanwarf S.O,825412,Delivery,Giridih,Giridh,JHARKHAND
Right Bank Tenughat S.O,829123,Delivery,Bokaro,Bokaro,JHARKHAND
Sunday Bazar S.O,829127,Delivery,Bokaro,Bokaro,JHARKHAND
Bagodar S.O,825322,Delivery,Bagodar,Giridh,JHARKHAND
Giridih  Town S.O,815302,Delivery,Giridih,Giridh,JHARKHAND
Gomia S.O,829111,Delivery,Bokaro,Bokaro,JHARKHAND
Jamua S.O (Giridh),815318,Delivery,Giridih,Giridh,JHARKHAND
Pachamba S.O,815316,Delivery,Giridih,Giridh,JHARKHAND
Suriya S.O,825320,Delivery,Giridih,Giridh,JHARKHAND
Beniadih S.O,815311,Delivery,Giridih,Giridh,JHARKHAND
Giridih H.O,815301,Delivery,Giridih,Giridh,JHARKHAND
I.E.Gomia S.O,829112,Delivery,Bokaro,Bokaro,JHARKHAND
T.T.P.S.Lalpania S.O,829149,Delivery,Bokaro,Bokaro,JHARKHAND
Tisri S.O,815317,Delivery,Giridih,Giridh,JHARKHAND
Palounjia S.O,825324,Delivery,Giridih,Giridh,JHARKHAND
Peterbar S.O,829121,Delivery,Bokaro,Bokaro,JHARKHAND
Bermo S.O,829104,Delivery,Bokaro,Bokaro,JHARKHAND
Dugdha Coal washery S.O,828404,Delivery,NA,Bokaro,JHARKHAND
Bokaro Thermal S.O,829107,Delivery,Bokaro,Bokaro,JHARKHAND
Dhori S.O,825102,Delivery,Bokaro,Bokaro,JHARKHAND
Ganwan S.O,815313,Delivery,Giridih,Giridh,JHARKHAND
Isri Bazar S.O,825167,Delivery,Giridih,Giridh,JHARKHAND
Jarangdih Colliery S.O,829113,Delivery,Bokaro,Bokaro,JHARKHAND
Kathara S.O,829116,Delivery,Bokaro,Bokaro,JHARKHAND
Mirzaganj S.O,815315,Delivery,Giridih,Giridh,JHARKHAND
Phusro Bazar S.O,829144,Delivery,Bokaro,Bokaro,JHARKHAND
Swang Colliery S.O,829128,Delivery,Bokaro,Bokaro,JHARKHAND
Bhurkunda Bazar S.O,829106,Delivery,Patratu,Ramgarh,JHARKHAND
Chatra S.O (Chatra),825401,Delivery,Chatra,Chatra,JHARKHAND
College More S.O,825302,Delivery,Hazaribagh,Hazaribag,JHARKHAND
Sarubera S.O,829134,Delivery,Ramgarh,Ramgarh,JHARKHAND
Simaria S.O,825103,Delivery,Simaria,Chatra,JHARKHAND
Bhadaninagar S.O,829105,Delivery,Ramgarh,Ramgarh,JHARKHAND
Charhi S.O,825336,Delivery,Churchu,Hazaribag,JHARKHAND
Chittarpur S.O,825101,Delivery,Chitarpur,Ramgarh,JHARKHAND
Domchanch Bazar S.O,825418,Delivery,Kodarma,Koderma,JHARKHAND
Itkhori S.O,825408,Delivery,Itkhori,Chatra,JHARKHAND
Kedla S.O,825325,Delivery,Mandu,Ramgarh,JHARKHAND
Kuju S.O,825316,Delivery,Ramgarh,Ramgarh,JHARKHAND
Tandwa S.O (Chatra),825321,Delivery,Tandwa,Chatra,JHARKHAND
Ramgarh Cantt H.O,829122,Delivery,Ramgarh Cantt,Ramgarh,JHARKHAND
Barhi S.O (Hazaribag),825405,Delivery,Barhi,Hazaribag,JHARKHAND
Barkagaon S.O,825311,Delivery,Barkagaon,Hazaribag,JHARKHAND
Jori S.O,825403,Delivery,Jori,Chatra,JHARKHAND
Koderma Thermal Power Station S.O,825421,Delivery,Koderma,Koderma,JHARKHAND
Marar S.O,829117,Delivery,Ramgarh,Ramgarh,JHARKHAND
Patratu S.O,829118,Delivery,Patratu,Ramgarh,JHARKHAND
Reformatory School S.O,825319,Delivery,Hazaribagh,Hazaribag,JHARKHAND
Sayal S.O,829125,Delivery,Patratu,Ramgarh,JHARKHAND
Sounda C S.O,829126,Delivery,Patratu,Ramgarh,JHARKHAND
Tapin S.O,825326,Delivery,Churchu,Ramgarh,JHARKHAND
Balkudra S.O,829143,Delivery,Patratu,Ramgarh,JHARKHAND
BSF Meru S.O,825317,Delivery,Hazaribagh,Hazaribag,JHARKHAND
Giddi C S.O,829109,Delivery,Ramgarh,Ramgarh,JHARKHAND
Jainagar S.O (Koderma),825109,Delivery,Jainagar,Koderma,JHARKHAND
Korrah S.O,825303,Delivery,Hazaribag,Hazaribag,JHARKHAND
Padma S.O,825411,Delivery,Padma,Hazaribag,JHARKHAND
Src S.O,829131,Delivery,NA,Ramgarh,JHARKHAND
Bhurkunda S.O,829135,Delivery,Patratu,Ramgarh,JHARKHAND
Bishungarh S.O (Hazaribag),825312,Delivery,Bishungarh,Hazaribag,JHARKHAND
Domchanch S.O,825407,Delivery,Kodarma,Koderma,JHARKHAND
Ghatotand S.O,825314,Delivery,Mandu,Ramgarh,JHARKHAND
Giddi A S.O,829108,Delivery,Ramgarh,Ramgarh,JHARKHAND
Ichak S.O,825402,Delivery,Ichak,Hazaribag,JHARKHAND
Jhumri Telaiya S.O,825409,Delivery,Kodarma,Koderma,JHARKHAND
Kodarma S.O,825410,Delivery,Kodarma,Koderma,JHARKHAND
Ramgarh Project S.O,829150,Delivery,Gola,Ramgarh,JHARKHAND
Sounda D S.O,829133,Delivery,Patratu,Ramgarh,JHARKHAND
Topa Coliery S.O,825330,Delivery,Mandu,Ramgarh,JHARKHAND
Daroo S.O,825313,Delivery,Hazaribagh,Hazaribag,JHARKHAND
Pratappur S.O (Chatra),825404,Delivery,Pratappur,Chatra,JHARKHAND
Prc S.O,829130,Delivery,Ramgarh,Ramgarh,JHARKHAND
Argada S.O,829101,Delivery,Ramgarh,Ramgarh,JHARKHAND
Barkakana NTS S.O,829103,Delivery,Ramgarh,Ramgarh,JHARKHAND
Barkakana S.O,829102,Delivery,Ramgarh,Ramgarh,JHARKHAND
Barkatha S.O,825323,Delivery,Barkatha,Hazaribag,JHARKHAND
Chouparan S.O,825406,Delivery,Chouparan,Hazaribag,JHARKHAND
Gola S.O (Ramgarh),829110,Delivery,Gola,Ramgarh,JHARKHAND
Hazaribagh H.O,825301,Delivery,Hazaribagh,Hazaribag,JHARKHAND
Konardam S.O,825315,Delivery,Bishnugarh,Hazaribag,JHARKHAND
Markacho S.O,825318,Delivery,Markacho,Koderma,JHARKHAND
Patratu TPS S.O,829119,Delivery,Patratu,Ramgarh,JHARKHAND
Religarha S.O,829129,Delivery,Patratu,Ramgarh,JHARKHAND
Satgawan S.O,825132,Delivery,NA,Koderma,JHARKHAND
Telaiya Dam S.O,825413,Delivery,Chandwara,Koderma,JHARKHAND
Barwadih S.O,822111,Delivery,Barwadih,Latehar,JHARKHAND
Dakra Colliery S.O,829210,Delivery,Dakra,Ranchi,JHARKHAND
Latehar Rsso S.O,829207,Delivery,Latehar,Latehar,JHARKHAND
Manjhiaon S.O,822134,Delivery,Garhwa,Garhwa,JHARKHAND
Mc. Cluskiganj S.O,829208,Delivery,Mander,Ranchi,JHARKHAND
Rehala S.O,822124,Delivery,Bisrampur,Garhwa,JHARKHAND
Bishrampur S.O (Palamau),822132,Delivery,Daltoganj,Palamau,JHARKHAND
Chandwa S.O,829203,Delivery,Chandwa,Latehar,JHARKHAND
Chhatarpur S.O,822113,Delivery,Chhatarpur,Palamau,JHARKHAND
Japla S.O,822116,Delivery,Japla,Palamau,JHARKHAND
Latehar Hsgii S.O,829206,Delivery,Latehar,Latehar,JHARKHAND
Mahuwadand S.O,822119,Delivery,Mahuwadand,Latehar,JHARKHAND
Raj Chainpur S.O,822110,Delivery,Chainpur,Palamau,JHARKHAND
Bhawnathpur S.O,822112,Delivery,Garhwa,Garhwa,JHARKHAND
Chhipadohar S.O,829204,Delivery,Latehar,Latehar,JHARKHAND
Japla C F S.O,822117,Delivery,Japla,Palamau,JHARKHAND
Mohammad Ganj S.O,822120,Delivery,Japla,Palamau,JHARKHAND
Panki S.O (Palamau),822122,Delivery,Panki,Palamau,JHARKHAND
Ray S.O,829209,Delivery,Bundu,Ranchi,JHARKHAND
Meral S.O,822133,Delivery,Garhwa,Garhwa,JHARKHAND
Nagar Utari S.O,822121,Delivery,Nagar Utari,Palamau,JHARKHAND
Ranka Raj S.O,822125,Delivery,Ranka Raj,Garhwa,JHARKHAND
Balumath S.O,829202,Delivery,Balumath,Latehar,JHARKHAND
Bhawnathpur TownShip S.O,822129,Delivery,Bhawanathpur,Garhwa,JHARKHAND
Daltonganj Collage S.O,822102,Delivery,Daltonganj,Palamau,JHARKHAND
Garhwa S.O,822114,Delivery,Garhwa,Garhwa,JHARKHAND
Harihar Ganj S.O (Palamau),822131,Delivery,Harihar Ganj,Palamau,JHARKHAND
Satbarwa S.O,822126,Delivery,Satbarwa,Palamau,JHARKHAND
Bachra S.O,829201,Delivery,Bachra,Chatra,JHARKHAND
Patan S.O (Palamau),822123,Delivery,Patan,Palamau,JHARKHAND
Ramna S.O (Garhwa),822128,Delivery,Meral,Garhwa,JHARKHAND
Daltonganj H.O,822101,Delivery,Daltonganj,Palamau,JHARKHAND
Haidar Nagar S.O,822115,Delivery,Japla,Palamau,JHARKHAND
Khalari S.O,829205,Delivery,Mander,Ranchi,JHARKHAND
Lesliganj S.O,822118,Delivery,Lesliganj,Palamau,JHARKHAND
Govindpur S.O (Ranchi),835234,Delivery,Karra,Ranchi,JHARKHAND
Gumla H.O,835207,Delivery,Gumla,Gumla,JHARKHAND
Nawagarh S.O (Gumla),835232,Delivery,Nawagarh,Gumla,JHARKHAND
Tamar S.O,835225,Delivery,Tamar,Ranchi,JHARKHAND
Bano S.O,835201,Delivery,Bano,Simdega,JHARKHAND
Chainpur S.O (Gumla),835206,Delivery,Chainpur,Gumla,JHARKHAND
Ghaghra S.O,835208,Delivery,Gumla,Gumla,JHARKHAND
Kurdeg S.O,835212,Delivery,Kurdeg,Simdega,JHARKHAND
Nagjua S.O,835325,Delivery,Itki,Ranchi,JHARKHAND
Ramkrishna Sanatorium S.O,835221,Delivery,Ranchi,Ranchi,JHARKHAND
Brambe S.O,835205,Delivery,Mandar,Ranchi,JHARKHAND
Bundu S.O,835204,Delivery,Bundu,Ranchi,JHARKHAND
Dhurwa S.O,834004,Delivery,Ranchi,Ranchi,JHARKHAND
Itki S.O,835301,Delivery,Ranchi,Ranchi,JHARKHAND
Neori Vikas Vidyalaya S.O,835217,Delivery,Ranchi,Ranchi,JHARKHAND
Palkot S.O,835220,Delivery,Palkot,Gumla,JHARKHAND
Ranchi Medical College S.O,834009,Delivery,Ranchi,Ranchi,JHARKHAND
Tatisilway S.O,835103,Delivery,Angara,Ranchi,JHARKHAND
Bharno S.O,835203,Delivery,Bharno,Gumla,JHARKHAND
Gotra S.O,835235,Delivery,Simdega,Simdega,JHARKHAND
Khunti S.O,835210,Delivery,Khunti,Ranchi,JHARKHAND
Netarhat S.O,835218,Delivery,Lohardaga,Lohardaga,JHARKHAND
Silli S.O,835102,Delivery,Silli,Ranchi,JHARKHAND
Doranda H.O,834002,Delivery,Ranchi,Ranchi,JHARKHAND
Hehal S.O,834005,Delivery,Ranchi,Ranchi,JHARKHAND
Kolebira S.O,835211,Delivery,Kolebira,Simdega,JHARKHAND
Kuru S.O,835213,Delivery,Kuru,Lohardaga,JHARKHAND
Mesra S.O,835215,Delivery,Ranchi,Ranchi,JHARKHAND
Murhu S.O,835216,Delivery,Murhu,Ranchi,JHARKHAND
Piskanagri S.O,835303,Delivery,Ranchi,Ranchi,JHARKHAND
Ratu S.O,835222,Delivery,Ratu,Ranchi,JHARKHAND
Sisai S.O (Gumla),835324,Delivery,Sisai,Gumla,JHARKHAND
Biru S.O,835228,Delivery,Simdega,Simdega,JHARKHAND
Bishunpur S.O,835231,Delivery,Bishunpur,Gumla,JHARKHAND
Hatia S.O (Ranchi),834003,Delivery,Ranchi,Ranchi,JHARKHAND
Kanke S.O,834006,Delivery,Kanke,Ranchi,JHARKHAND
Karra S.O,835209,Delivery,Karra,Ranchi,JHARKHAND
Ormanjhi S.O,835219,Delivery,Ormanjhi,Ranchi,JHARKHAND
Chotamuri S.O,835101,Delivery,Silli,Ranchi,JHARKHAND
Mandar S.O (Ranchi),835214,Delivery,Mandar,Ranchi,JHARKHAND
Namkum S.O,834010,Delivery,Ranchi,Ranchi,JHARKHAND
Noadih S.O,835230,Delivery,Noadih,Gumla,JHARKHAND
Ranchi G.P.O. ,834001,Delivery,Ranchi,Ranchi,JHARKHAND
Ranchi University S.O,834008,Delivery,Ranchi,Ranchi,JHARKHAND
Simdega S.O,835223,Delivery,Simdega,Simdega,JHARKHAND
Thethaitangar S.O,835226,Delivery,Thethaitangar,Simdega,JHARKHAND
Toto S.O,835233,Delivery,Toto,Gumla,JHARKHAND
Basia S.O,835229,Delivery,Basia,Gumla,JHARKHAND
Bero S.O,835202,Delivery,NA,Ranchi,JHARKHAND
Krishnapuri S O,834011,Delivery,NA,Ranchi,JHARKHAND
Lohardaga S.O,835302,Delivery,Lohardaga,Lohardaga,JHARKHAND
Torpa S.O,835227,Delivery,Torpa,Ranchi,JHARKHAND
Basukinathdham S.O,814118,Delivery,Jarmundi,Dumka,JHARKHAND
Guhiajori S.O,814158,Delivery,Dumka,Dumka,JHARKHAND
Kathikund S.O,814103,Delivery,Kathikund,Dumka,JHARKHAND
Pakuria S.O,816117,Delivery,Pakuria,Pakur,JHARKHAND
Ramgarah S.O,814102,Delivery,Ramgarah,Dumka,JHARKHAND
Sakrigali Ghat S.O,816115,Delivery,Sahibganj,Sahibganj,JHARKHAND
Borio S.O,816120,Delivery,Borio,Sahibganj,JHARKHAND
Ghormara S.O,814120,Delivery,Mohanpur,Deoghar,JHARKHAND
Jamtara S.O,815351,Delivery,Jamtara,Jamtara,JHARKHAND
Jarmundi S.O,814141,Delivery,Jarmundi,Dumka,JHARKHAND
Kundahit S.O,815359,Delivery,Kundahit,Jamtara,JHARKHAND
Kurwa S.O,814119,Delivery,Dumka,Dumka,JHARKHAND
Palojori S.O,814146,Delivery,Palojori,Deoghar,JHARKHAND
Raghunathpur S.O (Dumka),814148,Delivery,Raneshwar,Dumka,JHARKHAND
Tinpahar RS S.O,816116,Delivery,Rajmahal,Sahibganj,JHARKHAND
Madhupur S.O,815353,Delivery,Madhupur,Deoghar,JHARKHAND
Maheshpur Raj S.O,816106,Delivery,Maheshpur,Pakur,JHARKHAND
Ranga Masalia S.O,814167,Delivery,Masalia,Dumka,JHARKHAND
Hiranpur S.O,816104,Delivery,Hiranpur,Pakur,JHARKHAND
Kotalpokhar S.O,816105,Delivery,Barharwa,Sahibganj,JHARKHAND
Kunda S.O (Deoghar),814143,Delivery,Doghar,Deoghar,JHARKHAND
Lalmatia Colliery S.O,814165,Delivery,Boarijore,Godda,JHARKHAND
Mahgama S.O,814154,Delivery,Mahgama,Godda,JHARKHAND
Mihijam S.O,815354,Delivery,Jamtara,Jamtara,JHARKHAND
Mirzachowki S.O,813208,Delivery,Borio,Sahibganj,JHARKHAND
Pakur S.O,816107,Delivery,Pakur,Pakur,JHARKHAND
Pathna S.O,816110,Delivery,Pathna,Sahibganj,JHARKHAND
Saraiyahat S.O,814151,Delivery,Saraiyahat,Dumka,JHARKHAND
Sarouni Bazar S.O,814156,Delivery,Godda,Godda,JHARKHAND
Barharwa S.O (Sahibganj),816101,Delivery,Barharwa,Sahibganj,JHARKHAND
Deosang B.T S.O,814114,Delivery,Deoghar,Deoghar,JHARKHAND
Godda S.O,814133,Delivery,Godda,Godda,JHARKHAND
Massanjore S.O,814144,Delivery,Dumka,Dumka,JHARKHAND
Meharma S.O,814160,Delivery,Meharma,Godda,JHARKHAND
Nala S.O,815355,Delivery,Nala,Jamtara,JHARKHAND
Nonihat S.O,814145,Delivery,Jarmundi,Dumka,JHARKHAND
Rohani S.O,814152,Delivery,Deoghar,Deoghar,JHARKHAND
Sahibganj S.O,816109,Delivery,Sahibganj,Sahibganj,JHARKHAND
Dumka H.O,814101,Delivery,Dumka,Dumka,JHARKHAND
Fatehpur S.O (Jamtara),814166,Delivery,Kundahit,Jamtara,JHARKHAND
Hindipith S.O,814115,Delivery,Deoghar,Deoghar,JHARKHAND
Karogram S.O,815357,Delivery,Karon,Deoghar,JHARKHAND
Poraiyahat S.O,814153,Delivery,Poraiyahat,Deoghar,JHARKHAND
Sarath S.O,814149,Delivery,Sarath,Deoghar,JHARKHAND
Amrapara S.O,814111,Delivery,Amrapara,Pakur,JHARKHAND
Basantrai S.O,814155,Delivery,Pathargama,Godda,JHARKHAND
Benagaria S.O,816103,Delivery,Shikaripara,Dumka,JHARKHAND
Dehijore S.O,814157,Delivery,Mohanpur,Deoghar,JHARKHAND
Jasidih S.O,814142,Delivery,Deoghar,Deoghar,JHARKHAND
Karmatar S.O,815352,Delivery,Jamtara,Jamtara,JHARKHAND
Shivpahar S.O,814110,Delivery,Dumka,Dumka,JHARKHAND
Taljhari S.O,816129,Delivery,Taljhari,Sahibganj,JHARKHAND
B.Deoghar H.O,814112,Delivery,Deoghar,Deoghar,JHARKHAND
Barhait S.O,816102,Delivery,Barhait,Sahibganj,JHARKHAND
Deoghar College S.O,814113,Delivery,Deoghar,Deoghar,JHARKHAND
Pathergama S.O,814147,Delivery,Pathergama,Godda,JHARKHAND
Rajmahal S.O,816108,Delivery,Rajmahal,Sahibganj,JHARKHAND
Sarwan S.O,814150,Delivery,Sarwan,Deoghar,JHARKHAND
Satsang S.O,814116,Delivery,Deoghar,Deoghar,JHARKHAND
Shikaripara S.O,816118,Delivery,Shikaripara,Dumka,JHARKHAND
Adityapur S.O,831013,Delivery,NA,West Singhbhum,JHARKHAND
Danguaposi S.O,833212,Delivery,Danguaposi,West Singhbhum,JHARKHAND
J.M.P. Chowk S.O,833204,Delivery,Chaibasa,West Singhbhum,JHARKHAND
Jugsalai S.O,831006,Delivery,Jugsalai,East Singhbhum,JHARKHAND
Pardih,831020,Delivery,Mango Notified Area,East Singhbhum,JHARKHAND
R.I.T S.O,831014,Delivery,Jamshedpur,Seraikela-kharsawan,JHARKHAND
Dhalbhumgarh S.O,832302,Delivery,Dhalbhumgarh,East Singhbhum,JHARKHAND
Moubhandar S.O,832103,Delivery,Moubhandar,East Singhbhum,JHARKHAND
Noamundi Bazar S.O,833218,Delivery,Noamundi,West Singhbhum,JHARKHAND
Rakha Copper Project S.O,832106,Delivery,R.c.project,East Singhbhum,JHARKHAND
Telco G.M Office S.O,831010,Delivery,Jamshedpur,East Singhbhum,JHARKHAND
Telco Works S.O,831004,Delivery,Jamshedpur,East Singhbhum,JHARKHAND
Ghatsila S.O,832303,Delivery,Ghatsila,East Singhbhum,JHARKHAND
Gobindpur Housing Colony S.O,831015,Delivery,Gobindpur,East Singhbhum,JHARKHAND
Jadugoda Mines S.O,832102,Delivery,Jadugoda,East Singhbhum,JHARKHAND
Mango S.O,831012,Delivery,Mango,East Singhbhum,JHARKHAND
Tatanagar S.O,831002,Delivery,Jamshedpur,East Singhbhum,JHARKHAND
Adityapur Industrial Area S.O,832109,Delivery,A.i .area,Seraikela-kharsawan,JHARKHAND
Amda S.O,833101,Delivery,Amda,Seraikela-kharsawan,JHARKHAND
Chiria S.O,833106,Delivery,Chiria,West Singhbhum,JHARKHAND
Goilkera S.O,833103,Delivery,Goilkera,West Singhbhum,JHARKHAND
Gua S.O,833213,Delivery,Gua,West Singhbhum,JHARKHAND
Hatgamaria S.O,833214,Delivery,Hatgamaria,West Singhbhum,JHARKHAND
Jamshedpur H.O,831001,Delivery,Jamshedpur,East Singhbhum,JHARKHAND
M.G.M Medical College S.O,831018,Delivery,Jamshedpur,East Singhbhum,JHARKHAND
Noamundi S.O,833217,Delivery,Noamundi,West Singhbhum,JHARKHAND
Seraikella S.O,833219,Delivery,Seraikella,Seraikela-kharsawan,JHARKHAND
Azadnagar S.O,832110,Delivery,Azadnagar,East Singhbhum,JHARKHAND
Barajamda S.O,833221,Delivery,Barajamda,West Singhbhum,JHARKHAND
Birsanagar S.O,831019,Delivery,NA,East Singhbhum,JHARKHAND
Chaibasa H.O,833201,Delivery,Chaibasa,West Singhbhum,JHARKHAND
Jagannathpur S.O,833203,Delivery,Jagannathpur,West Singhbhum,JHARKHAND
Manoharpur S.O (West Singhbhum),833104,Delivery,Manoharpur,West Singhbhum,JHARKHAND
Patamda S.O,832105,Delivery,Patamda,East Singhbhum,JHARKHAND
Sini S.O,833220,Delivery,Sini,Seraikela-kharsawan,JHARKHAND
Baridih Colony S.O,831017,Delivery,Baridih Colony,East Singhbhum,JHARKHAND
Chowka S.O,832404,Delivery,Chowka,Seraikela-kharsawan,JHARKHAND
Jhinkpani S.O,833215,Delivery,Jhinkpani,West Singhbhum,JHARKHAND
Kadma S.O,831005,Delivery,Kadma,East Singhbhum,JHARKHAND
Kiriburu Base Camp S.O,833222,Delivery,Kiriburu,West Singhbhum,JHARKHAND
Narwa Mines  S.O,832111,Delivery,NA,East Singhbhum,JHARKHAND
Sonari S.O (East Singhbhum),831011,Delivery,East Singhbhum,East Singhbhum,JHARKHAND
Sonua S.O,833105,Delivery,Sonua,West Singhbhum,JHARKHAND
Agrico S.O,831009,Delivery,Agrico,East Singhbhum,JHARKHAND
Baharagora S.O,832101,Delivery,Baharagora,East Singhbhum,JHARKHAND
Burma Mines S.O,831007,Delivery,Burma Mines,East Singhbhum,JHARKHAND
Golmuri S.O,831003,Delivery,Golmuri,East Singhbhum,JHARKHAND
Kandra S.O (Seraikela-kharsawan),832402,Delivery,Kandra,Seraikela-kharsawan,JHARKHAND
Kharsawangarh S.O,833216,Delivery,Kharsawangarh,Seraikela-kharsawan,JHARKHAND
Mahulia S.O,832304,Delivery,Mahulia,East Singhbhum,JHARKHAND
Rahargora S.O,831016,Delivery,Rahargora,East Singhbhum,JHARKHAND
Sundarnagar S.O,832107,Delivery,Sundarnagar,East Singhbhum,JHARKHAND
Tata College Chaibasa S.O,833202,Delivery,Chaibasa,West Singhbhum,JHARKHAND
Tiruldih S.O,832403,Delivery,Tiruldih,Seraikela-kharsawan,JHARKHAND
Chakradharpur S.O,833102,Delivery,Chakradharpur,Seraikela-kharsawan,JHARKHAND
Chakulia S.O,832301,Delivery,Chakulia,East Singhbhum,JHARKHAND
Chandil S.O,832401,Delivery,Chandil,Seraikela-kharsawan,JHARKHAND
Gamharia S.O,832108,Delivery,Gamharia,Seraikela-kharsawan,JHARKHAND
Meghahatuburu S.O,833223,Delivery,Megahatuburu,West Singhbhum,JHARKHAND
Mosabani Mines S.O,832104,Delivery,Mosabani,East Singhbhum,JHARKHAND
G.K.V.K. S.O,560065,Delivery,Bangalore North,Bangalore,KARNATAKA
J.C.Nagar S.O,560006,Delivery,Bangalore North,Bangalore,KARNATAKA
Vartur S.O,560087,Delivery,Bangalore South,Bangalore,KARNATAKA
Bellandur S.O,560103,Delivery,Bangalore South,Bangalore,KARNATAKA
C.V.Raman Nagar S.O,560093,Delivery,Bangalore North,Bangalore,KARNATAKA
Dr. Shivarama Karanth Nagar S.O,560077,Delivery,Bangalore North,Bangalore,KARNATAKA
H.K.P. Road S.O,560051,Delivery,Bangalore North,Bangalore,KARNATAKA
Krishnarajapuram S.O,560036,Delivery,Bangalore North,Bangalore,KARNATAKA
